isolate	component	clade
ERR12861533	23	Cluster 1
ERR12861548	23	Cluster 1
ERR2988423	23	Cluster 1
23IE194_S33_L001	33	Cluster 2
ERR12861551	33	Cluster 2
ERR12861555	33	Cluster 2
23IE163_S2_L001	41	Cluster 3
ERR3337469	41	Cluster 3
ERR3337543	41	Cluster 3
ERR3337559	41	Cluster 3
ERR3468955	41	Cluster 3
ERR3524848	41	Cluster 3
ERR3566288	41	Cluster 3
ERR3566299	41	Cluster 3
ERR4022364	41	Cluster 3
ERR6057648	41	Cluster 3
ERR6057683	41	Cluster 3
ERR12861436	54	Cluster 4
ERR12861673	54	Cluster 4
ERR3566356	54	Cluster 4
